nu,Fused_Average_AUC,Fused_Std_AUC,Identity_Average_AUC,Identity_Std_AUC
1,0.995448717948718,0.00566339391166234,0.984419047619047,0.0186846219266986
5,0.999548229548229,0.00137643618782392,0.99687619047619,0.00646089357156932
10,0.99980463980464,0.000871537422692907,0.998190476190476,0.00430943146175693
